Artist,Title,ISRC,Spotify ID,Deezer ID,Youtube ID
Stevie Wonder,I Just Called To Say I Love You (Single Version),USUMG9900476,6RNDeRnWsRMjPdNVgupZCs,910262,1bGOgY1CmiU
Cyndi Lauper,Time After Time,USSM18300650,7o9uu2GDtVDr9nsR7ZRN73,608756,VdQY7BusJNU
Chicago,Hard Habit to Break (2006 Remaster),USWB10603148,3Tows9RnoAq9CmMJaII2cO,674271,b7MwgByxPs8
Cyndi Lauper,Girls Just Want to Have Fun,USSM18300548,4y1LsJpmMti1PfRQV9AWWe,608758,PIb6AZdTr-A
Huey Lewis & The News,The Heart Of Rock And Roll,USNPD1226518,2HWWCo3JcQa74DRPPciNTM,67753852,M7JVlpm0eRs
Bruce Springsteen,Dancing In the Dark,USSM18400416,7FwBtcecmlpc1sLySPXeGE,15586246,129kuDCQtHs
U.S.A. for Africa,We Are The World,US25T8511672,3Z2tPWiNiIpg8UMMoowHIk,11118881,mIqhl0rH0Wc
Dire Straits,Money For Nothing,GBF088500674,31DvHUCSioX0JD7B4kZMJ9,880940,JRDgihVDEko
Don Henley,The Boys Of Summer,USGF18502601,4gvea7UlDkAvsJBPZAd4oB,3977905,QWT90HzLF3U
Paul Young,Everytime You Go Away,GBBBN8500005,1Wvl2q8WYfHGyFnpxmv9op,605138,nfk6sCzRTbM
Foreigner,I Want to Know What Love Is,USAT29900662,1JLn8RhQzHz3qDqsChcmBl,675818,raNGeq3_DtM
Huey Lewis & The News,The Power Of Love,USCH39100005,3tMW1Zbt9Z6cnEBO0HSZ5t,98284268,xiLr0Sz-tKI
Bruce Springsteen,Born in the U.S.A.,USSM18400406,0dOg1ySSI7NkpAe89Zo0b9,15586213,lZD4ezDbbu4
Dionne Warwick,That's What Friends Are For,USAR18500220,6BtmjWXmjcxK9B7tBZcrts,1080922,HyTpu6BmE88
Peter Gabriel,Sledgehammer,GBCPB1200864,029NqmIySn1kOY305AAhxT,540503442,KkiqTmwEQ-U
Robert Palmer,Addicted To Love,USUMG9900746,1xBZEEpCBic1hVpRiIEL5Q,907802,wEBANKFGqkw
Steve Winwood,Higher Love,GBAAN0201051,17Ng10tIgnYmAitl0SgT3R,906593,k9olaIio3l8
Paul Simon,Graceland,USSM11002255,51KKQAgYFoJHgVIuJWHdHb,6599476,H9M4XJXnCcw
Whitney Houston,Greatest Love Of All,USAR18500139,6yJxCltgtmGxIgKOS6ndnu,969204,IYzlVDlE72w
Los Lobos,La Bamba,USWB10900778,6uU5OBhGUE1ngSKDj4wtoq,6629399,nLAWPrCUQQ0
U2,I Still Haven't Found What I'm Looking For,GBUM70709783,72AO8u6lcjKp0CBeaPZT8I,912481,fo2Q-YH6vow
Suzanne Vega,Luka,USA6W1025201,3CeXl5AGvmRDP6RSGAbLUV,134953042,AV0ffQcwKzY
Whitney Houston,Didn't We Almost Have It All,USAR18700115,19wadMw1A8XejDV4p5wMt1,970419,WVw3cyseR10
Steve Winwood,Back In The High Life Again,USWWW0126212,7byGdkcphPA1ovkas0OBFr,20662441,Adw772km7PQ
Bobby McFerrin,Don't Worry Be Happy,USEM38800361,4hObp5bmIJ3PP3cKA9K9GY,3127387,d-diB65scQU
Anita Baker,Giving You the Best That I Got (Single Version),USAT20200800,5BjZ8PqQLy42KHAhtPcnBN,3607755,gKGj8XwooYQ
Tracy Chapman,Fast Car,USEE10180719,2M9ro2krNb7nr7HSprkEgo,2271563,AIOAlaACuv4
