Year,Artist,Track,USA,NON USA,Nom,Win,Youtube,M,F,D,I,Alternative rock,Big Band,Blues,Blues rock,Breakbeat,Chanson française,Church music,Classical,Concerto,Country,Country rock,Dance Pop,Disco,Dubstep,Easy Listening,EDM,Electronica,Electro Pop,Folk,Funk,Gospel,Hard rock,Hip Hop,Indie rock,Jazz,Latin Pop,Metal,New Wave,Pop,Pop Rock,R&B Nu Soul,Reggae,Reggaeton,Rock,Rock N Roll,Rock New Wave,Salsa - Afro Cuban,Samba Bossa,Soul,Soul Jazz,Speech,Swing,Traditional pop,Vocal jazz,World,,,,,,
1969,Bobby Goldsboro,Honey,1,,x,,https://www.youtube.com/watch?v=ZuuH2lnyizM,1,,,,,,,,,,,,,"0,4",,,,,"0,4",,,,,,,,,,,,,,"0,8",,,,,,,,,,,,,,"0,9",,,,,,,,
1969,Simon & Garfunkel,Mrs. Robinson,1,,x,,https://www.youtube.com/watch?v=9C1BCAgu2I8,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,"0,6",,,,,,,,,,,,,,,,,,,,,
1969,Glen Campbell,Wichita Lineman,1,,x,,https://www.youtube.com/watch?v=Q8P_xTBpAcY,1,,,,,,,,,,,,,"0,3",,,,,,,,,"0,4",,,,,,,,,,"0,7",,,,,,,,,,,,,,"0,7",,,,,,,,
1970,Joe South,Games People Play,1,,,x,https://www.youtube.com/watch?v=vDeVonv3kY0,1,,,,,,,,,,,,,"0,3",,,,,,,,,1,,,,,,,,,,"0,8",1,,,,"0,6",,,,,,,,,,,,,,,,,
1970,Henry Mancini,A Time For Us,1,,x,,https://www.youtube.com/watch?v=GIWV7ReKYAk,,,,1,,,,,,,,"0,8","0,8",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4",,,,,,,,
1970,"Blood, Sweat & Tears",Spinning Wheel,1,,x,,https://www.youtube.com/watch?v=SFEewD4EVwU,1,,,,,1,"0,5",,,,,,,,,,,,,,,,,"0,5",,,,,"0,4",,,,"0,4","0,5",,,,,,,,,1,"0,8",,,,,,,,,,,
1970,Dionne Warwick,I'll Never Fall in Love Again,1,,x,,https://www.youtube.com/watch?v=tbBD_pDLv_o,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,9",,,,,,,,,,"0,7",,,,"0,7",,,,,,,,
1970,B. J. Thomas,Raindrops Keep Fallin' on My Head,1,,x,,https://www.youtube.com/watch?v=hziG9Nr6KHU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4",,,,1,,,,,,,,,,,,,,"0,8","0,4",,,,,,,
1970,The 5th Dimension,Aquarius/Let the Sunshine In,1,,,x,https://www.youtube.com/watch?v=06X5HYynP5E,,,1,,,,,,,,,,,,,,,,,,,,,,"0,6",,,,,,,,1,"0,5",,,,,,,,,"0,6",,,,,,,,,,,,
1970,Johnny Cash,A Boy Named Sue ,1,,x,,https://www.youtube.com/watch?v=_Gbtm-93oqE,1,,,,,,,,,,,,,1,"0,6",,,,,,,,,,,,,,,,,,,"0,4",,,,,"0,2",,,,,,"0,2",,,,,,,,,,
1970,Peggy Lee,Is That All There Is? ,1,,x,,https://www.youtube.com/watch?v=3sWTnsemkIs,,1,,,,,,,,,,,,,,,,,"0,3",,,,,,,,,,"0,3",,,,,,,,,,,,,,,,"0,2",,1,"0,4",,,,,,,
1971,Simon & Garfunkel,Bridge over Troubled Water,1,,,x,https://www.youtube.com/watch?v=H_a46WJ1viA,1,,,,,,,,,,,"0,4","0,4",,,,,,,,,,"0,6",,,,,,,,,,1,,,,,,,,,,,,,,"0,3",,,,,,,,
1971,Ray Stevens,Everything Is Beautiful,1,,x,,https://www.youtube.com/watch?v=vTfoY4g0GZM,1,,,,,,,,,,,,,"0,6",,,,,,,,,,,"0,8",,,,,,,,"0,6",,,,,,,,,,"0,6",,,,"0,3",,,,,,,,
1971,James Taylor,Fire and Rain,1,,x,,https://www.youtube.com/watch?v=N8u8tASPtwg,1,,,,,,,,,,,,,"0,6",,,,,,,,,1,,,,,,,,,,"0,8",,,,,,,,,,,,,,,,,,,,,,
1971,The Beatles,Let it Be,,1,x,,https://www.youtube.com/watch?v=HzvDofigTKQ,1,,,,,,,"0,6",,,,,,,,,,,,,,,,,"0,7",,,,,,,,1,"0,8",,,,"0,5",,,,,,,,,,,,,,,,,
