Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Madonna,"['Ray Of Light' 'Rescue Me' ""Don't Tell Me"" 'Angel' 'Deeper And Deeper'
 'Beautiful Stranger' 'Don\'t Cry For Me Argentina (From ""Evita"")'
 'Secret' 'Cherish' 'Die Another Day' 'Rain' 'Causing A Commotion'
 ""Papa Don't Preach"" 'American Pie' 'Take A Bow' 'Open Your Heart'
 'Crazy For You' 'Frozen' 'Borderline' 'Sorry' 'Celebration' 'Bad Girl'
 'Erotica' 'Hung Up' 'I\'ll Remember (From ""With Honors"")' 'Dress You Up'
 'Like A Prayer' 'Hanky Panky' 'Express Yourself' 'Music' 'Material Girl'
 'Justify My Love' 'Like A Virgin' 'Lucky Star' 'Live To Tell'
 'La Isla Bonita' 'Oh Father' 'Keep It Together' 'Human Nature'
 'Give It 2 Me' 'Bedtime Story' 'American Life' 'Holiday'
 ""Love Don't Live Here Anymore"" 'The Power Of Good-Bye'
 'This Used To Be My Playground' 'Nothing Really Matters'
 'You Must Love Me (From ""Evita"")' ""You'll See"" ""Who's That Girl""
 'True Blue' 'Vogue' 'What It Feels Like For A Girl']",53,857,1983,2009,25,27,32,136,213,False
Jay-Z & T.I. Featuring Kanye West & Lil Wayne,['Swagga Like Us'],1,20,2008,2009,2,2,0,1,1,True
Justin Bieber Featuring Ludacris,['Baby' 'All Around The World'],2,29,2010,2013,3,4,0,1,5,True
Bruno Mars,"['24K Magic' ""That's What I Like"" 'Runaway Baby' 'It Will Rain'
 'Locked Out Of Heaven' 'Just The Way You Are' 'Gorilla' 'Grenade'
 'Marry You' 'The Lazy Song' 'Young Girls' 'When I Was Your Man'
 'Treasure' 'Versace On The Floor']",14,380,2010,2018,8,9,16,96,150,False
Lil Wayne Featuring XXXTENTACION,"[""Don't Cry""]",1,3,2018,2018,1,1,0,1,1,True
Cardi B & Bruno Mars,['Please Me'],1,20,2019,2019,1,1,0,5,8,False
Duane Eddy His Twangy Guitar And The Rebels,"[""Rebel-'rouser"" 'Pepe' 'Cannonball' 'Bonnie Came Back' 'Peter Gunn'
 '""Yep!""' 'Some Kind-A Earthquake' 'Ramrod' 'Shazam!'
 'First Love, First Tears' 'The Lonely One' 'The Quiet Three']",12,112,1958,1961,4,4,0,0,3,False
Janet Jackson,"['Runaway' ""That's The Way Love Goes"" 'Again' 'Alright' 'Because Of Love'
 'Any Time, Any Place/And On And On' 'Black Cat' 'Control' 'Rhythm Nation'
 'Escapade' 'Miss You Much' 'Just A Little While' 'If' 'Come Back To Me'
 'Nasty' 'I Want You' ""Let's Wait Awhile"" 'Come Give Your Love To Me'
 'Love Will Never Do (Without You)' 'The Pleasure Principle'
 ""You Want This/70's Love Groove"" 'Young Love' 'When I Think Of You'
 'What Have You Done For Me Lately']",24,429,1982,2004,12,23,21,92,148,False
"Jessie J, Ariana Grande & Nicki Minaj",['Bang Bang'],1,31,2014,2015,2,2,0,11,16,False
Drake,"['Summer Sixteen' 'Diplomatic Immunity' 'Passionfruit' 'Survival'
 ""Can't Take A Joke"" 'Back To Back' '8 Out Of 10' ""Sandra's Rose""
 'Summer Games' 'Blue Tint' 'Controlla' 'Over' 'Teenage Fever' 'Signs'
 ""That's How You Feel"" 'Childs Play' 'Blem' 'Peak' 'Still Here' '9'
 'Ratchet Happy Birthday' '9 AM In Dallas' ""God's Plan"" 'Nice For What'
 'Nonstop' 'In My Feelings' 'Emotionless' 'Best I Ever Had'
 '0 To 100 / The Catch Up' 'Do Not Disturb' 'Redemption'
 'Started From The Bottom' 'Right Hand' '10 Bands' 'Headlines' 'Mob Ties'
 'Elevate' 'Free Smoke' ""I'm Upset"" 'Fake Love' 'Gyalchester' 'Jaded'
 'Hype' 'Find Your Love' 'Omerta' 'Is There More' 'Finesse' 'Energy'
 'Jorja Interlude' 'Madiba Riddim' 'Feel No Ways' 'Furthest Thing'
 'Final Fantasy' 'March 14' 'How About Now' 'Nothings Into Somethings'
 'Behind Barz' 'Skepta Interlude' 'Own It' 'Charged Up'
 ""Can't Have Everything"" '6 God' 'Lose You' 'Hotline Bling'
 'Hate Sleeping Alone' 'Marvins Room' 'Keep The Family Close'
 'Dreams Money Can Buy' 'Know Yourself' 'Fire & Desire' ""No Tellin'""
 'Legend' 'Now & Forever' 'The Language' 'The Motion' 'Club Paradise'
 'Come Thru' '30 For 30 Freestyle' 'Days In The East' '6 Man'
 'Shot For Me' 'Worst Behavior' 'Wu-Tang Forever' 'Too Much'
 'Trust Issues' 'Tuscan Leather' 'Two Birds, One Stone' 'U With Me?'
 'Views' 'Weston Road Flows']",90,707,2009,2019,11,11,29,74,118,False
