Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
The Temptations,"[""(I Know) I'm Losing You"" ""Ain't Too Proud To Beg""
 ""Don't Let The Joneses Get You Down"" 'Cloud Nine'
 'Superstar (Remember How You Got Where You Are)' 'Since I Lost My Baby'
 ""(Loneliness Made Me Realize) It's You That I Need"" 'Shakey Ground'
 'Take A Look Around' 'Run Away Child, Running Wild'
 'I Wish It Would Rain' 'Barbara'
 ""Ball Of Confusion (That's What The World Is Today)""
 ""Papa Was A Rollin' Stone"" 'Power' 'Beauty Is Only Skin Deep'
 'All I Need' 'Please Return Your Love To Me' 'Aiming At Your Heart'
 'Masterpiece' 'Girl (Why You Wanna Make Me Blue)' ""It's Summer""
 'Hey Girl (i Like Your Style)'
 'Just My Imagination (Running Away With Me)' 'My Baby' 'My Girl'
 ""It's Growing"" 'Glasshouse' ""I'll Be In Trouble"" 'Lady Soul' 'Sail Away'
 'Psychedelic Shack' 'Get Ready' ""I Can't Get Next To You""
 'Keep Holding On' 'Happy People' 'Let Your Hair Down'
 'I Could Never Love Another (After Loving You)' 'Love On My Mind Tonight'
 'Mother Nature' ""Don't Look Back"" 'The Plastic Man'
 'The Way You Do The Things You Do' 'Heavenly' ""You're My Everything""
 ""You've Got My Soul On Fire"" 'Treat Her Like A Lady'
 'Ungena Za Ulimwengu (Unite The World)' 'Up The Creek (without A Paddle)']",49,478,1960,1986,20,27,6,31,75,False
Neil Sedaka,"['Stairway To Heaven' 'Alice In Wonderland' 'Breaking Up Is Hard To Do'
 ""That's When The Music Takes Me"" 'Bad Blood' ""Steppin' Out""
 'Little Devil' 'Happy Birthday, Sweet Sixteen' 'Bad Girl' 'Calendar Girl'
 'Sweet Little You' 'Oh! Carol' 'Next Door To An Angel'
 'Love In The Shadows' ""Let's Go Steady Again"" 'I Go Ape'
 'Laughter In The Rain' 'The Diary' 'The Dreamer' 'The Immigrant'
 'Amarillo' 'The World Through A Tear' 'Run Samson Run' 'King Of Clowns'
 'Sunny' 'The Answer To My Prayer' 'You Gotta Make Your Own Sunshine'
 'You Mean Everything To Me']",28,310,1958,1977,13,20,6,17,41,False
Tim McGraw,"['Please Remember Me' 'Shotgun Rider' 'Red Rag Top'
 ""She's My Kind Of Rain"" 'Southern Voice' 'Angry All The Time'
 'Better Than I Used To Be' ""Don't Take The Girl"" 'Southern Girl'
 'Some Things Never Change' 'Something Like That' 'Back When'
 'Do You Want Fries With That' 'Real Good Man' 'Felt Good On My Lips'
 ""If You're Reading This"" 'One Of Those Nights' 'I Like It, I Love It'
 ""Grown Men Don't Cry"" 'My Next Thirty Years' 'Live Like You Were Dying'
 ""It's A Business Doing Pleasure With You"" 'Indian Outlaw'
 'One Of These Days' 'My Best Friend' 'For A Little While'
 'Humble And Kind' 'The Cowboy In Me' 'Still' 'Suspicions'
 ""Can't Be Really Gone"" 'Last Dollar (Fly Away)' ""Lookin' For That Girl""
 'Drugs Or Jesus' 'My Old Friend' ""Nothin' To Die For"" 'My Little Girl'
 ""How I'll Always Be"" 'Let It Go' 'When The Stars Go Blue'
 'Where The Green Grass Grows' 'Top Of The World' 'Truck Yeah' 'Unbroken'
 'Watch The Wind Blow By']",45,719,1994,2017,23,24,0,0,1,False
Annette With The Afterbeats,"['Pineapple Princess' 'Tall Paul' 'First Name Initial' 'Talk To Me Baby'
 'My Heart Became Of Age' 'Dream Boy' 'Train Of Love']",7,62,1959,1961,3,3,0,0,1,False
Joe Cocker,"['Cry Me A River' 'She Came In Through The Bathroom Window'
 'Put Out The Light' 'Pardon Me Sir' 'High Time We Went/Black-Eyed Blues'
 'Fun Time' 'Edge of a Dream' 'Shelter Me' 'Delta Lady' 'Feeling Alright'
 ""You Are So Beautiful/It's A Sin When You Love Somebody""
 'When The Night Comes' 'With A Little Help From My Friends'
 'What Are You Doing With A Fool Like Me']",14,136,1968,1990,13,23,0,2,3,False
The Animals,"[""Don't Bring Me Down"" ""Don't Let Me Be Misunderstood""
 'Bring It On Home To Me' 'House Of The Rising Sun'
 'Gonna Send You Back To Walker (Gonna Send You Back To Georgia)'
 ""I'm Crying"" ""It's My Life"" 'Boom Boom' 'The Night' 'Inside-Looking Out'
 'We Gotta Get Out Of This Place']",11,96,1964,1983,4,20,3,6,8,False
Nat King Cole,"['That Sunday, That Summer' 'Dear Lonely Hearts'
 'Come Closer To Me (Acercate Mas)' 'All Over The World' ""Ramblin' Rose""
 'I Must Be Dreaming' 'Let True Love Begin' 'Looking Back'
 ""I Don't Want To Be Hurt Anymore"" 'My True Carrie, Love'
 ""I Don't Want To See Tomorrow"" 'Nothing Goes Up (Without Coming Down)'
 'If I Knew' 'Let Me Tell You, Babe' 'Midnight Flyer' 'Give Me Your Love'
 'The Christmas Song (Merry Christmas To You)' 'Sweet Bird Of Youth'
 'Those Lazy-Hazy-Crazy Days Of Summer' ""Non Dimenticar (Don't Forget)""
 'L-O-V-E' 'Nothing In The World' 'Mr. Wishing Well' 'Madrid'
 ""Take A Fool's Advice"" 'People' 'You Made Me Love You'
 ""Whatcha' Gonna Do"" 'Time And The River']",29,198,1958,2019,13,62,0,6,12,False
Manfred Mann,"['Sha La La' 'Do Wah Diddy Diddy' 'Pretty Flamingo'
 'Mighty Quinn (Quinn The Eskimo)' 'Come Tomorrow' 'Fox On The Run']",6,52,1964,1969,5,6,2,6,11,False
Wilson Pickett,"['634-5789 (Soulsville, U.S.A.)' ""She's Lookin' Good"" 'Stag-O-Lee'
 ""Don't Knock My Love - Pt. 1"" ""Don't Let The Green Grass Fool You""
 'Sugar Sugar/Cole, Cooke & Redding' ""Don't Fight It""
 ""Call My Name, I'll Be There"" 'A Man And A Half' 'Mustang Sally'
 ""Ninety-Nine And A Half (Won't Do)"" 'Land Of 1000 Dances'
 'Mini-Skirt Minnie' 'Everybody Needs Somebody To Love' 'Jealous Love'
 'Fire And Water' 'Hey Joe' 'I Found A Love - Part 1' ""I'm In Love""
 'In The Midnight Hour' 'Engine Number 9' 'I Found A True Love'
 'If You Need Me' 'Hey Jude' 'Funky Broadway' 'Funk Factory'
 ""I'm A Midnight Mover"" 'Soul Dance Number Three' 'She Said Yes'
 'Cole, Cooke & Redding' ""Take A Closer Look At The Woman You're With""
 ""It's Too Late"" ""I'm Down To My Last Heartbreak"" 'Mr. Magic Man'
 'Mama Told Me Not To Come' 'Born To Be Wild' ""You Can't Stand Alone""
 'You Keep Me Hanging On']",38,286,1963,1973,10,11,0,0,6,False
Harpers Bizarre,"[""The 59th Street Bridge Song (Feelin' Groovy)"" 'Anything Goes'
 'Come To The Sunshine' 'Battle Of New Orleans' 'Chattanooga Choo Choo']",5,35,1967,1968,2,2,0,0,0,False
The Dells,"['Stay In My Corner' 'Always Together' ""Does Anybody Know I'm Here""
 'Open Up My Heart/Nadine' 'Oh, What A Night'
 'I Can Sing A Rainbow/Love Is Blue' 'On The Dock Of The Bay'
 'Oh What A Day' 'My Pretending Days Are Over' 'I Miss You'
 'I Wish It Was Me You Loved' 'O-O, I Love You' 'The Glory Of Love'
 'The Love We Had (Stays On My Mind)' 'Bring Back The Love Of Yesterday'
 'There Is' 'Give Your Baby A Standing Ovation' 'Hallways Of My Mind'
 ""It's All Up To You"" ""I Can't Do Enough"" 'Long Lonely Nights'
 'The (Bossa Nova) Bird' 'Wear It On Our Face']",23,170,1962,1974,10,13,0,0,5,False
The 5th Dimension,"['Sweet Blindness' ""(Last Night) I Didn't Get To Sleep At All""
 'One Less Bell To Answer' 'Blowing Away' 'California Soul' 'Carpet Man'
 'Aquarius/Let The Sunshine In' 'Save The Country' 'Puppet Man'
 'Ashes To Ashes' 'Stoned Soul Picnic'
 'A Change Is Gonna Come & People Gotta Be Free/The Declaration'
 ""Love's Lines, Angles And Rhymes"" 'If I Could Reach You'
 'Living Together, Growing Together' 'On The Beach (In The Summertime)'
 'Light Sings' ""Everything's Been Changed"" 'Never My Love'
 'Go Where You Wanna Go' 'Love Hangover' ""The Girls' Song""
 'Another Day, Another Heartache' 'Paper Cup' 'Flashback'
 ""Workin' On A Groovy Thing"" ""Together Let's Find Love""
 'Up -- Up And Away' 'Wedding Bell Blues']",29,290,1967,1976,9,10,9,26,44,False
Aretha Franklin,"['Share Your Love With Me' ""(Sweet Sweet Baby) Since You've Been Gone""
 'See Saw' 'Something He Can Feel' 'A Rose Is Still A Rose'
 'Baby I Love You' 'Respect' 'Bridge Over Troubled Water/Brand New Me'
 'Day Dreaming' 'Rock Steady' 'Call Me/Son Of A Preacher Man' 'Angel'
 'Another Night' 'All The Kings Horses' 'Chain Of Fools' 'Spanish Harlem'
 'A Natural Woman (You Make Me Feel Like)' 'Freeway Of Love'
 ""Jumpin' Jack Flash"" ""Ain't No Way""
 'Rock-A-Bye Your Baby With A Dixie Melody' 'Take A Look'
 ""Runnin' Out Of Fools"" 'Border Song (Holy Moses)/You And Me' 'Soulville'
 ""I Can't See Myself Leaving You"" 'My Song' 'Gentle On My Mind'
 'Master Of Eyes (The Deepness Of Your Eyes)' ""I'm In Love""
 'I Never Loved A Man (The Way I Love You)'
 'A Deeper Love (From ""Sister Act 2"")' 'I Say A Little Prayer'
 ""Oh Me Oh My (I'm A Fool For You Baby)"" 'Mr. D.J. (5 For The D.J.)'
 'Jump To It' 'Jump' 'Look Into Your Heart' 'Get It Right' 'Mockingbird'
 'Jimmy Lee' 'Here We Go Again' 'The House That Jack Built' 'Come To Me'
 'Break It To Me Gently' ""Ain't Nothing Like The Real Thing""
 ""Don't Cry, Baby"" 'Rock-A-Lott' 'Rough Lover' 'The Weight' 'Think'
 'Eleanor Rigby' 'I Surrender, Dear' ""Can't You Just See Me"" 'You Send Me'
 ""You're All I Need To Get By"" ""Who's Zoomin' Who"" 'Willing To Forgive'
 'Without Love' 'Tracks Of My Tears' 'Trouble In Mind'
 'Try A Little Tenderness' 'United Together'
 ""Until You Come Back To Me (That's What I'm Gonna Do)""]",64,569,1961,1998,25,38,2,32,73,False
Barbra Streisand,"[""Comin' In And Out Of Your Life"" 'Somewhere' 'People' 'Stoney End'
 'Second Hand Rose' 'Songbird' 'My Heart Belongs To Me'
 'Sweet Inspiration/Where You Lead' 'Promises' 'All In Love Is Fair'
 'Left In The Dark' 'Evergreen (Love Theme From ""A Star Is Born"")'
 'Love Theme From ""Eyes Of Laura Mars"" (Prisoner)' ""Didn't We"" 'Emotion'
 'My Man' 'Memory' 'Free Again' 'Mother' 'Kiss Me In The Rain'
 'Flim Flam Man' 'The Main Event/Fight' 'Stout-Hearted Men'
 'Sam, You Made The Pants Too Long' 'The Way He Makes Me Feel'
 'The Way We Were' 'Funny Girl' 'He Touched Me'
 'Sing A Song/Make Your Own Kind Of Music' 'Where Am I Going?'
 'Where You Lead' 'Why Did I Choose You' 'Woman In Love' 'Time And Love']",34,352,1964,1986,20,23,9,35,55,False
Stevie Wonder,"['Do I Do' 'That Girl' 'Superwoman (Where Were You When I Needed You)'
 'A Place In The Sun' 'Skeletons' 'Part-Time Lover'
 ""Signed, Sealed, Delivered I'm Yours"" 'Send One Your Love'
 'Blowin In The Wind' 'Overjoyed' 'Boogie On Reggae Woman' 'Superstition'
 'Sir Duke' 'I Wish' 'I Just Called To Say I Love You' ""I'm Wondering""
 'Another Star' 'As' 'Shoo-Be-Doo-Be-Doo-Da-Day' 'Ribbon In The Sky'
 'Outside My Window' 'Love Light In Flight' 'Never Had A Dream Come True'
 'Go Home' 'I Was Made To Love Her' 'My Cherie Amour' 'For Your Love'
 ""Nothing's Too Good For My Baby"" 'Higher Ground'
 ""Don't You Worry 'Bout A Thing"" ""I Don't Know Why"" 'Living For The City'
 'Heaven Help Us All' ""Master Blaster (Jammin')"" 'For Once In My Life'
 ""I Ain't Gonna Stand For It"" ""Never Dreamed You'd Leave In Summer""
 'If You Really Love Me' 'Lately' 'Hey Harmonica Man' 'Land Of La La'
 'So What The Fuss' 'Keep On Running'
 'Gotta Have You (From ""Jungle Fever"")' 'High Heel Sneakers' 'Hey Love'
 'Yester-Me, Yester-You, Yesterday' 'You Are The Sunshine Of My Life'
 ""You Haven't Done Nothin"" 'You Met Your Match' 'You Will Know'
 ""Travlin' Man"" ""Uptight (Everything's Alright)"" 'We Can Work It Out']",54,659,1964,2005,27,42,11,75,144,False
Thompson Twins,"['Doctor! Doctor!' 'Sugar Daddy' 'King For A Day' 'Lay Your Hands On Me'
 'Hold Me Now' 'Get That Love' 'Lies' 'Love On Your Side'
 'Nothing In Common' 'The Gap' 'You Take Me Up']",11,146,1983,1989,6,7,0,5,14,False
Meat Loaf,"['Rock And Roll Dreams Come Through'
 ""I'd Lie For You (And That's The Truth)""
 'Paradise By The Dashboard Light'
 ""I'd Do Anything For Love (But I Won't Do That)""
 'Objects In The Rear View Mirror May Appear Closer Than...'
 ""I'm Gonna Love Her For Both Of Us"" 'Not A Dry Eye In The House'
 'You Took The Words Right Out Of My Mouth' ""Two Out Of Three Ain't Bad""]",9,126,1978,1996,7,19,5,11,14,False
Ricky Martin,"['She Bangs' ""She's All I Ever Had"" 'Shake Your Bon-Bon'
 ""Livin' La Vida Loca"" 'Tal Vez' 'Maria'
 ""The Cup Of Life (The Official Song Of The World Cup, France '98)""
 'Loaded']",8,134,1996,2003,6,8,5,15,19,False
Cathy Jean and The Roommates,['Please Love Me Forever'],1,12,1961,1961,1,1,0,0,0,False
Jay & The Americans,"['She Cried' 'Only In America' 'Some Enchanted Evening' 'Sunday And Me'
 'Crying' 'Come A Little Bit Closer' 'Cara, Mia'
 ""Let's Lock The Door (And Throw Away The Key)"" 'Come Dance With Me'
 ""Livin' Above Your Head"" 'Hushabye' 'Capture The Moment'
 ""(He's) Raining In My Sunshine"" 'Think Of The Good Times'
 'This Magic Moment' 'When You Dance' ""Why Can't You Bring Me Home""
 ""Walkin' In The Rain""]",18,165,1962,1970,8,9,0,7,16,False
The Yardbirds,"['Over Under Sideways Down' 'Shapes Of Things' 'Ha Ha Said The Clown'
 'Little Games' ""I'm A Man"" 'For Your Love' 'Heart Full Of Soul'
 'Ten Little Indians' 'Happenings Ten Years Time Ago']",9,80,1965,1967,3,3,0,0,5,False
The Marmalade,['Reflections Of My Life' 'Rainbow'],2,23,1970,1970,1,1,0,0,3,False
Henry Mancini And His Orchestra,"['(Theme From) Love Story' 'Days Of Wine And Roses' 'Charade'
 ""(Theme from) Charlie's Angels"" 'Love Theme From Romeo & Juliet'
 'Moonlight Sonata' 'Moon River' '(Theme from) The Great Impostor'
 'Dear Heart' 'Banzai Pipeline' 'A Shot In The Dark'
 'The Pink Panther Theme' 'Theme From ""Hatari!""']",13,117,1961,1977,8,17,2,5,8,False
Captain & Tennille,"[""Can't Stop Dancin'"" 'Shop Around' 'Do That To Me One More Time'
 'Come In From The Rain' 'Muskrat Love' 'Lonely Night (angel Face)'
 'Love On A Shoestring' 'Happy Together (A Fantasy)' ""I'm On My Way""
 'Por Amor Viviremos' 'The Way I Want To Touch You'
 'Love Will Keep Us Together' 'You Need A Woman Tonight'
 'You Never Done It Like That']",14,198,1975,1980,6,6,5,31,50,False
Bob Seger,"['American Storm' 'Against The Wind'
 'Shakedown (From ""Beverly Hills Cop II"")' 'Like A Rock'
 'Rock And Roll Never Forgets' 'Fire Lake' 'Mainstreet'
 'Nutbush City Limits' 'Night Moves' ""It's You"" 'Miami'
 'If I Were A Carpenter' 'Get Out Of Denver' 'The Horizontal Bop'
 ""Lookin' Back"" 'Katmandu' ""You'll Accomp'ny Me""
 ""Tryin' To Live My Life Without You"" 'Understanding']",19,227,1971,1987,13,17,1,13,28,False
New Kids On The Block,"[""Didn't I (Blow Your Mind)"" 'Step By Step' 'Cover Girl' 'Summertime'
 ""Please Don't Go Girl"" ""I'll Be Loving You (Forever)"" ""Hangin' Tough""
 ""Let's Try It Again"" ""This One's For The Children""
 'You Got It (The Right Stuff)' 'Tonight']",11,193,1988,2008,4,21,5,18,38,False
Guns N' Roses,"[""Don't Cry"" 'Chinese Democracy' ""Sweet Child O' Mine""
 'Sympathy For The Devil (""Interview With The Vampire"")' 'Patience'
 'November Rain' 'Paradise City' ""Since I Don't Have You""
 'Live And Let Die' 'Nightrain' 'Yesterdays' 'You Could Be Mine'
 'Welcome To The Jungle']",13,182,1988,2008,8,21,2,17,31,False
Arrested Development,"['People Everyday' 'Tennessee' 'Mr. Wendal' 'Ease My Mind'
 'Revolution (From ""Malcolm X"")']",5,87,1992,1994,3,3,0,0,19,False
Big Mountain,"['Baby I Love Your Way (From ""Reality Bites"")' 'Get Together'
 'Sweet Sensual Love' 'Touch My Light']",4,67,1993,1996,4,4,0,0,9,False
Charli XCX,['Boom Clap' 'Break The Rules'],2,28,2014,2015,2,2,0,0,4,False
Skip And Flip,['Cherry Pie' 'Fancy Nancy' 'It Was I'],3,36,1959,1960,2,2,0,0,0,False
Billy Vaughn And His Orchestra,"[""A Swingin' Safari"" 'Cimarron (Roll On)' 'Blue Hawaii'
 'Hawaiian War Chant' 'La Paloma' 'Look For A Star' 'Mexican Pearls'
 'Come September' 'Berlin Melody' 'Chapel By The Sea'
 'Orange Blossom Special' 'The Sundowners' 'Michelle' 'Blue Tomorrow'
 'Wheels' ""Your Cheatin' Heart""]",16,116,1958,1966,7,9,0,0,0,False
Bill Pursell,['Our Winter Love'],1,14,1963,1963,1,1,0,0,1,False
Bert Kaempfert And His Orchestra,"['Red Roses For A Blue Lady' 'Afrikaan Beat' 'Now And Forever'
 'Bye Bye Blues' 'Tenderly' 'Cerveza' 'That Happy Feeling'
 ""Three O'Clock In The Morning"" 'Moon Over Naples'
 ""I Can't Give You Anything But Love"" 'Wonderland By Night']",11,92,1960,1966,5,7,3,8,10,False
James Brown,"['Super Bad (Part 1 & Part 2)'
 ""Say It Loud - I'm Black And I'm Proud (Part 1)""
 ""Ain't It Funky Now (Part 1)"" 'Soul Power (Pt. 1)'
 'Talking Loud And Saying Nothing - Part I' 'Stoned To The Bone - Part 1'
 ""Papa Don't Take No Mess (Part I)""
 'Get Up, Get Into It, Get Involved (Pt. 1)'
 ""I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel""
 ""I'm A Greedy Man - Part I"" 'Brother Rapp (Part 1)' 'Sexy, Sexy, Sexy'
 'Give It Up Or Turnit A Loose' 'Make It Funky (Part 1)' 'King Heroin'
 'Get Up Offa That Thing' 'I Cried'
 'Let A Man Come In And Do The Popcorn (Part Two)'
 'Get Up (I Feel Like Being Like A) Sex Machine (Part 1)'
 'Lowdown Popcorn' 'Goodbye My Love' 'Escape-ism (Part 1)'
 'Let A Man Come In And Do The Popcorn (Part One)' 'I Got A Bag Of My Own'
 'I Got Ants In My Pants (and i want to dance) (Part 1)' 'My Thang'
 'Mother Popcorn (You Got To Have A Mother For Me) Part 1'
 ""It's A New Day (Part 1) & (Part 2)"" 'Get On The Good Foot-Part 1'
 'Down And Out In New York City' 'Funky Drummer (Part 1)'
 'Hot Pants (She Got To Use What She Got To Get What She Wants) (Pt. 1)'
 'Living In America' 'My Part/Make It Funky (Part 3)' 'Gravity'
 ""Funky President (People It's Bad)/Coldblooded"" 'Sex Machine (Part I)'
 'Spinning Wheel (Pt. 1)' 'Reality' 'The Bells' 'Bodyheat (Part 1)'
 'The Payback - Part I' 'The Popcorn' 'There It Is (Part 1)' 'Think'
 'World (Part 1)' ""Tit For Tat (Ain't No Taking Back)""]",47,381,1960,1986,13,27,0,2,6,False
The Spinners,"['One Of A Kind (Love Affair)' ""Cupid/I've Loved You For A Long Time""
 ""That's What Girls Are Made For"" ""Could It Be I'm Falling In Love""
 'Ghetto Child' ""I'll Be Around"" 'Living A Little, Laughing A Little'
 'Love Or Leave' ""I'll Always Love You"" 'If You Wanna Do A Dance'
 'Mighty Love - Pt. 1' ""I'm Coming Home"" ""Love Don't Love Nobody - Pt. I""
 'Funny How Time Slips Away' ""Love (I'm So Glad) I Found You""
 'How Could I Let You Get Away' 'Heaven On Earth (So Fine)'
 ""Never Thought I'd Fall In Love"" 'Sadie' 'The Rubberband Man'
 ""They Just Can't Stop It the (Games People Play)"" ""It's A Shame""
 'Working My Way Back To You/Forgive Me, Girl'
 'Yesterday Once More/Nothing Remains The Same'
 ""You're Throwing A Good Love Away""
 'Together We Can Make Such Sweet Music' 'Wake Up Susan'
 ""We'll Have It Made""]",28,282,1961,1983,16,23,0,22,39,False
"Earth, Wind & Fire","['Sing A Song' 'September' ""That's The Way Of The World"" 'Shining Star'
 'Saturday Nite' 'Serpentine Fire' 'Devotion' 'System Of Survival'
 'After The Love Has Gone' 'Sunday Morning' ""Can't Hide Love"" 'Star'
 'Side By Side' 'Let Me Talk' 'Fantasy' 'Fall In Love With Me' 'Getaway'
 'Got To Get You Into My Life' 'In The Stone' 'Keep Your Head To The Sky'
 'Kalimba Story' ""Let's Groove"" 'Magnetic' 'Mighty Mighty'
 'And Love Goes On' 'Thinking Of You' 'Love Is Life' 'Evil' 'You'
 'Wanna Be With You']",30,366,1971,1993,16,23,1,18,32,False
Barry Manilow,"['Copacabana (at The Copa)' 'Ready To Take A Chance Again'
 'Somewhere In The Night' 'Some Kind Of Friend' ""Read 'Em And Weep""
 'Ships' 'Could It Be Magic' 'Daybreak' 'Somewhere Down The Road'
 ""Can't Smile Without You"" 'I Write The Songs'
 'I Made It Through The Rain' 'Mandy' 'Even Now' 'Lonely Together'
 'Memory' ""I Don't Want To Walk Without You"" ""Let's Hang On"" 'Oh Julie'
 ""It's A Miracle"" 'Looks Like We Made It' ""I'm Your Man"" 'The Old Songs'
 ""This One's For You"" 'When I Wanted You'
 ""Tryin' To Get The Feeling Again"" 'Weekend In New England']",27,387,1974,1986,12,13,3,21,45,False
Electric Light Orchestra,"['Shine A Little Love' 'All Over The World' ""Sweet Talkin' Woman""
 'Showdown' ""Don't Bring Me Down"" ""Rock 'n' Roll Is King"" 'Strange Magic'
 'Roll Over Beethoven' 'Do Ya' 'Telephone Line'
 ""Can't Get It Out Of My Head"" 'Calling America' 'Confusion'
 'Hold On Tight' ""I'm Alive"" 'Mr. Blue Sky' 'Last Train To London'
 'Evil Woman' ""Livin' Thing"" 'Four Little Diamonds' ""It's Over""
 'Daybreaker' 'Turn To Stone' 'Twilight']",24,326,1973,1986,12,14,0,3,20,False
Sheryl Crow,"[""Can't Cry Anymore"" 'Strong Enough' 'All I Wanna Do' 'Soak Up The Sun'
 'Anything But Down' 'Everyday Is A Winding Road' 'My Favorite Mistake'
 'If It Makes You Happy' 'Love Is Free' 'Not Fade Away' 'Good Is Good'
 'Leaving Las Vegas' 'The First Cut Is The Deepest' 'Steve McQueen' 'Easy']",15,252,1994,2013,13,20,0,11,26,False
Rascal Flatts,"['Summer Nights' 'Stand' 'Banjo' ""Prayin' For Daylight"" 'Skin (Sarabeth)'
 'Rewind' 'Come Wake Me Up' 'Bless The Broken Road' 'Take Me There'
 'Forever' 'Life Is A Highway' 'Love Who You Love' 'Changed'
 'Love You Out Loud' ""I Won't Let Go"" 'Feels Like Today' 'Mayberry'
 ""I'm Movin' On"" 'I Melt' 'Fast Cars And Freedom'
 'I Like The Sound Of That' 'Here Comes Goodbye' 'Me And My Gang' 'Here'
 'These Days' 'Things That Matter' 'This Everyday Love' 'Every Day'
 'My Wish' 'While You Loved Me' 'Why Wait' 'Winner At A Losing Game'
 'Yours If You Want It' 'Unstoppable' 'What Hurts The Most']",35,602,2000,2017,17,18,0,0,4,False
Tamia,"['Stranger In My House' 'So Into You' 'Imagination'
 'Officially Missing You' ""Can't Go For That""]",5,84,1998,2003,4,6,0,0,2,False
