SongID,year,comboWeek,comboInstance,maxPose,top1,top5,top10
Put It In A MagazineSonny Charles,1982,14,1,40,0,0,0
Don't Leave Me This WayThe Communards,1986,13,1,40,0,0,0
As I Lay Me DownSophie B. Hawkins,1995,44,1,6,0,0,9
Brand New GirlfriendSteve Holy,2006,20,1,40,0,0,0
Say YouRonnie Dove,1964,11,1,40,0,0,0
Sending My LoveZhane,1994,20,1,40,0,0,0
Rearview TownJason Aldean,2019,18,1,40,0,0,0
Come To My WindowMelissa Etheridge,1994,44,1,25,0,0,0
Are You Gonna Kiss Me Or NotThompson Square,2011,20,1,32,0,0,0
Did You Ever Have To Make Up Your Mind?The Lovin' Spoonful,1966,11,1,2,0,4,6
Shout - Part IJoey Dee & the Starliters,1962,12,1,6,0,0,4
"Dance, Dance, DanceThe Beach Boys",1964,11,1,8,0,0,3
Baby TalkJan & Dean,1959,12,1,10,0,0,1
500 Miles Away From HomeBobby Bare,1963,11,1,10,0,0,1
Are You Jimmy Ray?Jimmy Ray,1998,18,1,13,0,0,0
DiaryBread,1972,11,1,15,0,0,0
Out In The CountryThree Dog Night,1970,11,1,15,0,0,0
Cuts Like A KnifeBryan Adams,1983,14,1,15,0,0,0
Devil WomanMarty Robbins,1962,11,1,16,0,0,0
(What A) Wonderful WorldArt Garfunkel With James Taylor & Paul Simon,1978,14,1,17,0,0,0
Pussy CatThe Ames Brothers,1958,15,1,17,0,0,0
A Word In SpanishElton John,1988,13,1,19,0,0,0
So Far AwayDire Straits,1986,14,1,19,0,0,0
Se LaLionel Richie,1987,13,1,20,0,0,0
ShameThe Motels,1985,13,1,21,0,0,0
Satin SoulLove Unlimited Orchestra,1975,12,1,22,0,0,0
Any Way You Want ItJourney,1980,15,1,23,0,0,0
SoulsRick Springfield,1983,15,1,23,0,0,0
Ta TaClyde McPhatter,1960,14,1,23,0,0,0
Sister Mary Elephant (Shudd-Up!)Cheech & Chong,1973,12,1,24,0,0,0
Dear HeartAndy Williams,1964,11,1,24,0,0,0
C'monKeSha,2013,16,1,27,0,0,0
"Breathe, Stretch, ShakeMase Featuring P. Diddy",2004,16,1,28,0,0,0
Sweet ThingMary J. Blige,1993,20,1,28,0,0,0
